-,-,-,-,-,-,-,-,-,-,-,-





'a'













0.24,0.95,-0.03,1.34,1.04,-0.67,0.98,1.82,10,618,8,21
0.24,0.95,-0.03,1.71,1.10,-0.55,0.98,2.10,10,617,7,21
0.24,0.95,-0.03,1.28,1.34,-0.67,0.98,1.97,10,615,7,21
0.24,0.96,-0.04,1.28,1.16,-0.55,0.98,1.81,10,616,6,21
0.24,0.95,-0.03,1.34,1.10,-0.55,0.98,1.82,10,618,7,21
0.24,0.95,-0.03,1.22,0.98,-0.67,0.98,1.70,10,616,8,22
0.24,0.95,-0.03,1.40,1.22,-0.55,0.98,1.94,10,618,7,21
0.24,0.95,-0.03,1.59,1.10,-0.55,0.98,2.01,10,615,8,20
0.24,0.95,-0.03,1.53,1.22,-0.49,0.98,2.01,10,618,8,22
0.24,0.95,-0.03,1.46,1.10,-0.73,0.98,1.97,10,615,9,22
0.24,0.95,-0.03,1.53,1.10,-0.55,0.98,1.96,10,617,7,21
0.24,0.95,-0.03,1.46,1.04,-0.55,0.98,1.88,9,616,9,22
0.24,0.95,-0.03,1.34,1.10,-0.55,0.98,1.82,9,616,6,22
0.24,0.95,-0.03,1.46,0.98,-0.49,0.98,1.83,10,617,9,23
0.24,0.95,-0.03,1.28,1.28,-0.61,0.98,1.91,10,616,8,21
0.24,0.95,-0.03,1.28,1.22,-0.73,0.98,1.92,9,617,7,21
0.24,0.95,-0.03,1.22,1.16,-0.55,0.98,1.77,9,617,7,20
0.24,0.95,-0.04,1.22,1.10,-0.73,0.98,1.80,9,616,8,21
0.24,0.95,-0.03,1.53,1.10,-0.67,0.98,2.00,10,616,8,21
0.24,0.95,-0.03,1.40,1.10,-0.55,0.98,1.87,10,615,8,22
0.24,0.95,-0.03,1.28,1.04,-0.67,0.98,1.78,9,615,8,20
0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,10,614,7,20
0.24,0.95,-0.03,1.40,1.04,-0.55,0.98,1.83,9,617,8,22
0.24,0.95,-0.03,1.46,1.22,-0.67,0.98,2.02,10,616,9,22
0.24,0.95,-0.03,1.28,1.16,-0.43,0.98,1.78,9,618,7,22
0.24,0.95,-0.03,1.46,1.04,-0.67,0.98,1.92,10,616,8,19
